Enhetsnummer;Enhetsnavn;Enhetstype;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode;Fortsatt behov;Ytelse
0587;Nav tiltak Innlandet;TILTAK;HJ AU;Hjelpemiddel arb. og utd. reiser;0;#I/T;Ja;
4151;Nav økonomi stønad;OKONOMI;ALLE;#I/T;#I/T;#I/T;;
4291;Klageinstans Oslo;KLAGE;ALLE;#I/T;#I/T;ALLE;;
4293;Klageinstans Tønsberg;KLAGE;ALLE;#I/T;#I/T;ALLE;;
4295;Klageinstans Tromsø;KLAGE;ALLE;#I/T;#I/T;ALLE;;
4402;Nav arbeid og ytelser Romerike;YTA;AE SU;Spesialutbetaling;Tilbakekreving av spesialutbetaling arbeidsavklaringspenger;TILBAKEKREVING_SPESIALUTBETALING;;Arbeidsavklaringspenger
4402;Nav arbeid og ytelser Romerike;YTA;AE AA;Arbeidsavklaringspenger;Tilbakekreving av feilutbetalte arbeidsavklaringspenger;TILBAKEKREVING_ARBEIDSAVKLARINGSPENGER;;
4402;Nav arbeid og ytelser Romerike;YTA;AP AP;Arbeidsavklaringspenger;Tilbakekreving av feilutbetalte arbeidsavklaringspenger;TILBAKEKREVING_ARBEIDSAVKLARINGSPENGER;;
4448;Nav arbeid og ytelser sykepenger;YTA;BS OM;Omsorgspenger;Tilbakekreving av feilutbetalte omsorgspenger;TILBAKEKREVING_OMSORGSPENGER;;
4448;Nav arbeid og ytelser sykepenger;YTA;BS PP;Pleiepenger, pleie pårørende;Tilbakekreving av feilutbetalte pleiepenger;TILBAKEKREVING_PLEIEPENGER_NAERSTAAENDE;;
4448;Nav arbeid og ytelser sykepenger;YTA;SP AV;Tilbakekr. sykepenger fra ag;0;#I/T;;
4448;Nav arbeid og ytelser sykepenger;YTA;SP SP;Sykepenger ;OBS! Benytt KT SP. Ikke eget oppsett;TILBAKEKREVING_SYKEPENGER;;
