X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
1;AE AP;Attføringspenger;Tilbakekreving av feilutbetalte attføringspenger;TILBAKEKREVING_ATTFOERINGSPENGER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte attføringspenger
2;AE AY;Attføringsytelser;Tilbakekreving av feilutbetalte attføringsytelser;TILBAKEKREVING_ATTFOERINGSYTELSER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte attføringsytelser
3;AT LN;Attføringslån;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Attføringslån
4;AL RP;Attføringsrutinen, rehab.penger;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Attføringsrutinen, rehab.penger
5;AT RP;Attføring rehab.penger;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Attføring rehab.penger
6;AE DP;Dagpenger;Tilbakekreving av feilutbetalte dagpenger;TILBAKEKREVING_DAGPENGER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte dagpenger
7;DP DP;Dagpenger;Tilbakekreving av feilutbetalte dagpenger;TILBAKEKREVING_DAGPENGER;0;11.3.2026;Maskinell;Ja (duplikat);Nei;Nav;Maskinelt (ny høst 25);Tilbakekreving av feilutbetalte dagpenger
8;FO FT;Forskutterte dagpenger;Tilbakekreving av feilutbetalte forskutterte dagpenger;TILBAKEKREVING_FORSKUTTERTE_DAGPENGER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalte forskutterte dagpenger
9;AL AL;Dagpenger ved a-løyse;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Dagpenger ved a-løyse
10;AE IS;Individstønad;Tilbakekreving av feilutbetalte tiltakspenger;TILBAKEKREVING_TILTAKSPENGER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte tiltakspenger
11;TP TP;Tiltakspenger;Tilbakekreving av feilutbetalte tiltakspenger;TILBAKEKREVING_TILTAKSPENGER;0;11.3.2026;Maskinell;Ja (duplikat);Nei;Nav;Maskinelt (ny høst 25);Tilbakekreving av feilutbetalte tiltakspenger
12;AE TS;Tilleggsstønader;Tilbakekreving av feilutbetalte tilleggsstønader;TILBAKEKREVING_TILLEGGSTOENADER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte tilleggsstønader
13;AE TA;Tilleggsstønad arbeidssøker;Tilbakekreving av feilutbetalt tilleggsstønad;TILBAKEKREVING_TILLEGGSTOENAD;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalt tilleggsstønad
14;AE TT;Tilleggsstønad;Tilbakekreving av feilutbetalt tilleggsstønad;TILBAKEKREVING_TILLEGGSTOENAD;0;11.3.2026;Maskinell;Ja (duplikat);Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalt tilleggsstønad
15;TS TS;Tilleggsstønad;Tilbakekreving av feilutbetalt tilleggsstønad;TILBAKEKREVING_TILLEGGSTOENAD;0;11.3.2026;Maskinell;Ja (duplikat);Nei;Nav;Maskinelt (ny høst 25);Tilbakekreving av feilutbetalt tilleggsstønad
16;AE AA;Arbeidsavklaringspenger;Tilbakekreving av feilutbetalte arbeidsavklaringspenger;TILBAKEKREVING_ARBEIDSAVKLARINGSPENGER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (arena fil);Tilbakekreving av feilutbetalte arbeidsavklaringspenger
